name	probe_name	x	y	z	hemisphere	impedance	shank_id
Micropipette	Olympus BX60WI microscope, Hamamatsu CCD camera equipped with micromanipulators Luigs and Neumann, 652 Ratingen, Germany	n/a	n/a	n/a	n/a	n/a	n/a
Micropipette_LFP	HEKA	n/a	n/a	n/a	n/a	n/a	n/a
